year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2025,LSG,966,Sunrisers Hyderabad,Rishabh Pant,WK-Batter,India,41,27.00 Cr,27.0,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Bhuvneshwar Kumar,Bowler,India,19,10.50 Cr,10.5,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Akash Deep,Bowler,India,19,8.00 Cr,8.0,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Matthew Breetzke,Batter,South Africa,1,75.00 L,0.75,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Arshin Kulkarni,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,RS Hangargekar,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Yuvraj Chaudhary,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Prince Yadav,Bowler,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Shamar Joseph,Bowler,West Indies,1,75.00 L,0.75,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Gurjapneet Singh,Bowler,India,8,1.00 Cr,1.0,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Akash Singh,Bowler,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Shahbaz Ahmed,Allrounder,India,6,2.40 Cr,2.4,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Digvesh Singh,Bowler,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Manimaran Siddharth,Bowler,India,5,75.00 L,0.75,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Anshul Kamboj,Allrounder,India,4,70.00 L,0.7,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Himmat Singh,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Washington Sundar,Allrounder,India,3,3.00 Cr,3.0,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Sam Curran,Allrounder,England,1,2.20 Cr,2.2,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Aryan Juyal,WK-Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Harpreet Brar,Allrounder,India,8,1.00 Cr,1.0,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Abdul Samad,Allrounder,India,18,4.20 Cr,4.2,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Ravichandran Ashwin,Allrounder,India,4,3.40 Cr,3.4,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Trent Boult,Bowler,New Zealand,10,6.00 Cr,6.0,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Rahul Chahar,Bowler,India,3,3.00 Cr,3.0,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Khaleel Ahmed,Bowler,India,7,4.60 Cr,4.6,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Jofra Archer,Bowler,England,15,8.25 Cr,8.25,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Anrich Nortje,Bowler,South Africa,11,6.25 Cr,6.25,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Avesh Khan,Bowler,India,18,9.75 Cr,9.75,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Josh Hazlewood,Bowler,Australia,18,9.75 Cr,9.75,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Jitesh Sharma,WK-Batter,India,11,4.20 Cr,4.2,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Mitchell Marsh,Allrounder,Australia,4,3.40 Cr,3.4,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Venkatesh Iyer,Allrounder,India,13,7.50 Cr,7.5,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Mohammed Shami,Bowler,India,3,9.50 Cr,9.5,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Jake Fraser-McGurk,Batter,Australia,8,5.25 Cr,5.25,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Aiden Markram,Batter,South Africa,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Yuzvendra Chahal,Bowler,India,14,13.75 Cr,13.75,lost,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,David Miller,Batter,South Africa,1,7.50 Cr,7.5,won,cricbuzz_all_bids_playwright
2025,LSG,966,Sunrisers Hyderabad,Jos Buttler,WK-Batter,England,4,15.25 Cr,15.25,lost,cricbuzz_all_bids_playwright
